tykk/72/www_vorumaateataja_ee.tykk:
<doc id="277476" length="1k-10k" crawl_date="2013-01-10" url="http://www.vorumaateataja.ee/index.php/ee/kuulutused/63-viimased-uudised/6106-voru-kohtumaja-moistis-kohut-ule-eestilise-kelmide-grupi-ule" web_domain="www.vorumaateataja.ee" langdiff="0.28" texttype="periodicals"> 
<gap/>
<p heading="1"> 
Reklaam    reklaam+0||S sg n||
ja    ja+0||J||
kaheksa    kaheksa+0||N sg n|| %kaheksa+0||N sg g||
osas    osas+0||K||
lõpetati    lõpeta+ti||V ti||
menetlus    menetlus+0||S sg n||
erinevatel    erinev+tel||A pl ad||
alustel    alune+tel||S pl ad||    alus+tel||S pl ad||+
.    .+||Z||
Kokku    kokku+0||D||
oli    ole+i||V s||
kohtu    kohus+0||S sg g||
all    all+0||K||
22    22+0||N ?||
süüdistatavat    süüdistatav+t||S sg p||
.    .+||Z||
Kolme    kolm+0||N sg g||
isiku    isik+0||S sg g||
osas    osas+0||K||
kriminaalmenetlus    kriminaal_menetlus+0||S sg n||
jätkub    jätku+b||V b||
,    ,+||Z||
kuna    kuna+0||J||
kaks    kaks+0||N sg n||
neist    see+st||P pl el||
loobusid    loobu+sid||V sid||
kohtuistungil    kohtu_istung+l||S sg ad||
kokkuleppemenetluse    kokku_leppe_menetlus+0||S sg g||
kohaldamisest    kohalda=mine+st||S sg el||
ja    ja+0||J||
toimik    toimik+0||S sg n||
tagastati    tagasta+ti||V ti||
prokuratuurile    prokuratuur+le||S sg all||
.    .+||Z||
Üks    üks+0||P sg n|| %üks+0||N sg n||
isik    isik+0||S sg n||
ei    ei+0||V neg||
ilmunud    ilmu+nud||V nud||+    ilmu=nud+0||A||    ilmu=nud+0||A sg n||    ilmu=nud+d||A pl n||
kohtuistungile    kohtu_istung+le||S sg all||
.    .+||Z||
Asjaga    asi+ga||S sg kom||
tegeles    tegele+s||V s||
Võru    Võru+0||H sg g||
kohtumaja    kohtu_maja+0||S sg g|| %kohtu_maja+0||S sg n||
,    ,+||Z||
sest    sest+0||J||
küllalt    küllalt+0||D||
suur    suur+0||A sg n||
osa    osa+0||S sg n||
kuritegudest    kuri_tegu+dest||S pl el||
pandi    pane+di||V ti||
toime    toim+0||S adt||    toime+0||S adt||+
Võrumaal    Võru_maa+l||H sg ad||
.    .+||Z||
Kohtualuste    Kohtu_alune+te||H pl g||    Kohtualus+te||H pl g||    Kohtualuste+0||H sg g|| %kohtu_alune+te||S pl g||
puhul    puhul+0||K||
oli    ole+i||V s||
tegemist    tegemine+t||S sg p||
Võru    Võru+0||H sg g||
-,    -+||Z||
Põlva    Põlva+0||H sg g||
-,    -+||Z||
Tartu    Tartu+0||H sg g||
-,    -+||Z||
Harju    Harju+0||H sg g||
-,    -+||Z||
Jõgeva-    Jõgeva+0||H sg g|| %Jõgeva+0||H ?||
ja    ja+0||J||
Saaremaa    Saare_maa+0||H sg g||
elanikega    elanik+ega||S pl kom||
.    .+||Z||
Kohus    kohus+0||S sg n||
tunnistas    tunnista+s||V s||
kokkuleppemenetluses    kokku_leppe_menetlus+s||S sg in||
kelmustes    kelmus+tes||S pl in||
süüdi    süüdi+0||D||
19    19+0||N ?||
isikut    isik+t||S sg p||
vanuses    vanus+s||S sg in||
22    22+0||N ?||
–    -+||Z||
44    44+0||N ?||
aastat    aasta+t||S sg p||
.    .+||Z||
</p>
<gap/>
<p heading="0"> 
Koos    koos+0||K||
politseinikega    politseinik+ega||S pl kom||
oli    ole+i||V s||
saalis    saal+s||S sg in||
ligi    ligi+0||D||
30    30+0||N ?||
inimest    inimene+t||S sg p||
.    .+||Z||
Kohtualuseid    kohtu_alune+id||S pl p||
lasti    lask+ti||V ti||
saali    saal+0||S adt||
jupikaupa    jupi_kaupa+0||D||
,    ,+||Z||
osa    osa+0||S sg n||
neist    see+st||P pl el||
oli    ole+i||V s||
vanglariietes    vangla_riie+tes||S pl in||
,,,,,    ,,,,,+||Z||
mis    mis+0||P pl n||+    mis+0||P sg n||
valvuriteks    valvur+teks||S pl tr||
saavad    saa+vad||V vad||
olla    ole+a||V da||
joodikust    joodik+st||S sg el||
mendid    ment+d||S pl n||
,    ,+||Z||
mõnel    mõni+l||P sg ad||
isegi    isegi+0||D||
näpud    näpp+d||S pl n||
puuduvad    puudu+vad||V vad||
.    .+||Z||
Ausalt    ausalt+0||D||
,,,    ,,,+||Z||
tilgad    tilk+d||S pl n||
tulevad    tule+vad||V vad||
püksi    püks+0||S adt||
kui    kui+0||D||    kui+0||J||+
seda    see+da||P sg p||
korrumpteerunud    korrumpteeru=nud+0||A||+    korrumpteeru=nud+0||A sg n||    korrumpteeru=nud+d||A pl n||
paska    pask+0||S sg p||
vaatad    vaata+d||V d||
ja    ja+0||J||
neist    tema+st||P pl el||
kuuled    kuul+d||V d||
.    .+||Z||
Need    see+d||P pl n||
väiksed    väike+d||A pl n||
kelmid    kelm+d||A pl n||
valvatud    valva=tu+d||S pl n|| %valva+tud||V tud||
aga    aga+0||J||
suured    suur+d||A pl n||
istuvad    istu+vad||V vad||
Brüsselis    Brüssel+s||H sg in||
,,,    ,,,+||Z||
10    10+0||N ?||
miljoni    miljon+0||N sg g||
varas    varas+0||S sg n||
jne    jne+0||Y ?||
.    .+||Z||
</p>
<gap/>
<p heading="1"> 
Küsitlus    küsitlus+0||S sg n||
</p>
</doc>
<doc id="282109" length="1k-10k" crawl_date="2013-01-10" url="http://www.vorumaateataja.ee/index.php/ee/arhiiv/63-viimased-uudised/3338-riigikogulane-vastab-laenuvotmise-kohta" web_domain="www.vorumaateataja.ee" langdiff="0.17" texttype="periodicals"> 
<gap/>
<p heading="0"> 
Kirjutas    kirjuta+s||V s||
Irja    Irja+0||H sg n||
Tähismaa    Tähis_maa+0||H sg n||+    Tähismaa+0||H sg n||
</p>
<p heading="0"> 
KÜSIMUS    Küsimus+0||H sg n|| %küsimus+0||S sg n||
–    -+||Z||
VASTUS    Vastus+0||H sg n|| %vastus+0||S sg n||
•    •+0||Y ?||
Mõned    mõni+d||P pl n||
nädalad    nädal+d||S pl n||
tagasi    tagasi+0||K||
tuli    tule+i||V s||
ilmsiks    ilmsiks+0||D||
,    ,+||Z||
et    et+0||J||
valitsus    valitsus+0||S sg n||
kavandas    kavanda+s||V s||
2009.    2009.+0||O ?||
aastal    aasta+l||S sg ad||
pärast    pärast+0||K||
üleilmse    üle_ilmne+0||A sg g||
finantskriisi    finants_kriis+0||S sg g||
algust    algus+t||S sg p||
ulatuslikku    ulatuslik+0||A sg p||
laenuvõtmist    laenu_võtmine+t||S sg p||
,    ,+||Z||
kuna    kuna+0||J||
riigi    riik+0||S sg g||
maksutulud    maksu_tulu+d||S pl n||
kukkusid    kukku+sid||V sid||
järsult    järsult+0||D||
ja    ja+0||J||
riigikassat    riigi_kassa+t||S sg p||
ähvardas    ähvarda+s||V s||
rahapuudus    raha_puudus+0||S sg n||
.    .+||Z||
</p>
<p heading="0"> 
Küsisime    küsi+sime||V sime||
Kagu-Eestist    Kagu-Eest+st||H sg el||    Kagu-Eesti+st||H sg el||+
valitud    valitud+0||A||+    valitud+0||A sg n||    valitud+d||A pl n||    vali+tud||V tud||
Riigikogu    riigi_kogu+0||S sg g|| %Riigi_kogu+0||H sg g||
liikmetelt    liige+telt||S pl abl||
laenuvõtmise    laenu_võtmine+0||S sg g||
kohta    kohta+0||K||
.    .+||Z||
Küsimused    küsimus+d||S pl n||
olid    ole+id||V sid||
järgmised    järgmine+d||A pl n||
:    :+||Z||
1.    1.+0||O ?||
Äsja    äsja+0||D||
selgus    selgu+s||V s||
,    ,+||Z||
et    et+0||J||
valitsus    valitsus+0||S sg n||
kavatses    kavatse+s||V s||
2009.    2009.+0||O ?||
aastal    aasta+l||S sg ad||
maksutulude    maksu_tulu+de||S pl g||
kukkumisega    kukkumine+ga||S sg kom||
seoses    seoses+0||K||
laenu    laen+0||S sg p||
võtta    võt+a||V da||
.    .+||Z||
Kas    kas+0||D||
olite    ole+ite||V site||
sellest    see+st||P sg el||
teadlikud    teadlik+d||A pl n||
ja    ja+0||J||
kuidas    kuidas+0||D||
sellesse    see+sse||P sg ill||
ning    ning+0||J||
riigi    riik+0||S sg g||
tasemel    tase+l||S sg ad||
laenuvõtmisse    laenu_võtmine+se||S adt||
üldse    üldse+0||D||
suhtute    suhtu+te||V te||
?    ?+||Z||
2.    2.+0||O ?||
Kas    kas+0||D||
olete    ole+te||V te||
ise    ise+0||D||
laenu    laen+0||S sg p||
võtnud    võt+nud||V nud||+    võt=nud+0||A||    võt=nud+0||A sg n||    võt=nud+d||A pl n||
ja    ja+0||J||
kui    kui+0||D||    kui+0||J||+
jah    jah+0||D||
,    ,+||Z||
siis    siis+0||J||
kui    kui+0||D||+    kui+0||J||
palju    palju+0||D||
?    ?+||Z||
Millised    milline+d||P pl n||
laenukohustused    laenu_kohustus+d||S pl n||
on    ole+0||V b||    ole+0||V vad||+
teil    sina+l||P pl ad||
hetkel    hetk+l||S sg ad||
?    ?+||Z||
</p>
<p heading="0"> 
Valdo    Valdo+0||H sg n||
Randpere    Rand_pere+0||H sg n||+    Randpere+0||H sg n||
(    (+||Z||
Reformierakond    Reformi_erakond+0||H sg n||+    Reformi_erakond+0||H sg n||
)    )+||Z||
:    :+||Z||
Teadsin    tead+sin||V sin||
,    ,+||Z||
et    et+0||J||
riigikassa    riigi_kassa+0||S sg n||
oli    ole+i||V s||
mingil    mingi+l||P sg ad||
hetkel    hetk+l||S sg ad||
väga    väga+0||D||
tühi    tühi+0||A sg n||
ja    ja+0||J||
et    et+0||J||
eesti    eesti+0||G||
krooni    kroon+0||S sg g||
vastu    vastu+0||K||
spekuleeriti    spekuleeri+ti||V ti||
välismaal    välis_maa+l||S sg ad||
päris    päris+0||D||
hoogsalt    hoogsalt+0||D||
.    .+||Z||
Sellele    see+le||P sg all||
viimasele    viimane+le||A sg all||
aitas    aita+s||V s||
muidugi    muidugi+0||D||
kaasa    kaasa+0||D||
Keskerakond    Kesk_erakond+0||H sg n||+    Kesk_erakond+0||H sg n||
,    ,+||Z||
kes    kes+0||P pl n||    kes+0||P sg n||+
õhutas    õhuta+s||V s||
paanikat    paanika+t||S sg p||
kohalike    kohalik+e||A pl g||
omavalitsuste    oma_valitsus+te||S pl g||
valimiste    valimine+te||S pl g||
eel    eel+0||K||
ja    ja+0||J||
teatas    teata+s||V s||
,    ,+||Z||
et    et+0||J||
19.    19.+0||O ?||
oktoobril    oktoober+l||S sg ad||
2009    2009+0||N ?||
devalveeritakse    devalveeri+takse||V takse||
kroon    kroon+0||S sg n||
.    .+||Z||
See    see+0||P sg n||
oli    ole+i||V s||
täiesti    täiesti+0||D||
alusetu    alusetu+0||A sg n||
ja    ja+0||J||
Keskerakond    Kesk_erakond+0||H sg n||+    Kesk_erakond+0||H sg n||
teadis    tead+is||V s||
seda    see+da||P sg p||
ise    ise+0||D||
ka    ka+0||D||
.    .+||Z||
Aga    aga+0||J||
kindlasti    kindlasti+0||D||
vähendas    vähenda+s||V s||
see    see+0||P sg n||
välismaiste    välis_maine+te||A pl g||
investorite    investor+te||S pl g||
usku    usk+0||S sg p||
Eestisse    Eesti+sse||H sg ill||
ja    ja+0||J||
tegi    tege+i||V s||
meid    mina+d||P pl p||
laenuandjate    laenu_andja+te||S pl g||
silmis    silm+is||S pl in||
kahtlaseks    kahtlane+ks||A sg tr||
.    .+||Z||
Ise    ise+0||P pl n||    ise+0||P sg n||+
pole    ole+0||V neg o||
otseselt    otseselt+0||D||
laenu    laen+0||S sg p||
võtnud    võt+nud||V nud||+    võt=nud+0||A||    võt=nud+0||A sg n||    võt=nud+d||A pl n||
,    ,+||Z||
küll    küll+0||D||
olen    ole+n||V n||
autod    auto+d||S pl n||
ostnud    ost+nud||V nud||+    ost=nud+0||A||    ost=nud+0||A sg n||    ost=nud+d||A pl n||
liisinguga    liising+ga||S sg kom||
.    .+||Z||
</p>
<p heading="0"> 
Tarmo    Tarmo+0||H sg n||
Tamm    Tamm+0||H sg n||+    Tamm+0||H sg n||
(    (+||Z||
Keskerakond    Kesk_erakond+0||H sg n||+    Kesk_erakond+0||H sg n||
)    )+||Z||
:    :+||Z||
Valitsuse    valitsus+0||S sg g||
soovist    soov+st||S sg el||
2009.    2009.+0||O ?||
aastal    aasta+l||S sg ad||
laenu    laen+0||S sg p||
võtta    võt+a||V da||
lugesin    luge+sin||V sin||
mõned    mõni+d||P pl n||
päevad    päev+d||S pl n||
tagasi    tagasi+0||K||
ajalehest    aja_leht+st||S sg el||
.    .+||Z||
Riigi    riik+0||S sg g||
tasemel    tase+l||S sg ad||
laenu    laen+0||S sg g||
võtmisse    võtmine+se||S adt||
suhtun    suhtu+n||V n||
positiivselt    positiivselt+0||D||
juhul    juht+l||S sg ad||
,    ,+||Z||
kui    kui+0||D||    kui+0||J||+
seda    see+da||P sg p||
raha    raha+0||S sg p||
kasutatakse    kasuta+takse||V takse||
eesmärkidel    ees_märk+del||S pl ad||
,    ,+||Z||
mis    mis+0||P pl n||+    mis+0||P sg n||
aitaks    aita+ks||V ks||
tulevikus    tulevik+s||S sg in||
raha    raha+0||S sg p||
kokku    kokku+0||D||
hoida    hoid+a||V da||
.    .+||Z||
Masu    Masu+0||H sg g|| %masu+0||S sg g||
ajal    aeg+l||S sg ad||
oleks    ole+ks||V ks||
võinud    või+nud||V nud||+    või=nud+0||A||    või=nud+0||A sg n||    või=nud+d||A pl n||
laenu    laen+0||S sg p||
võtta    võt+a||V da||
ja    ja+0||J||
selle    see+0||P sg g||
kaudu    kaudu+0||K||
oleks    ole+ks||V ks||
saanud    saa+nud||V nud||+    saa=nud+0||A||    saa=nud+0||A sg n||    saa=nud+d||A pl n||
elavdada    elavda+da||V da||
tööjõuturgu    töö_jõu_turg+0||S sg p||
ja    ja+0||J||
kindlustada    kindlusta+da||V da||
tööjõu    töö_jõud+0||S sg g||
jäämist    jäämine+t||S sg p||
Eestisse    Eesti+sse||H sg ill||
.    .+||Z||
Raha    raha+0||S sg n|| %raha+0||S sg p||
oleks    ole+ks||V ks||
eelkõige    eel_kõige+0||D||
pidanud    pida+nud||V nud||+    pida=nud+0||A||    pida=nud+0||A sg n||    pida=nud+d||A pl n||
kasutama    kasuta+ma||V ma||
soojamajanduse    sooja_majandus+0||S sg g||
kordategemisse    korda_tegemine+se||S adt||
,    ,+||Z||
kus    kus+0||D||
kulutusi    kulutus+i||S pl p||
on    ole+0||V b||+    ole+0||V vad||
võimalik    võimalik+0||A sg n||
säästa    sääst+a||V da||
kuni    kuni+0||K||
poole    pool+0||N sg g||
võrra    võrra+0||K||
.    .+||Z||
Pärast    pärast+0||D||
oleks    ole+ks||V ks||
säästetud    sääst+tud||V tud||    sääste=tud+0||A||+    sääste=tud+0||A sg n||    sääste=tud+d||A pl n||
raha    raha+0||S sg g||
eest    eest+0||K||
suudetud    suut+tud||V tud||+    suude=tud+0||A||    suude=tud+0||A sg n||    suude=tud+d||A pl n||
ka    ka+0||D||
pangalaenu    panga_laen+0||S sg g|| %panga_laen+0||S sg p||
tagasi    tagasi+0||D||
maksta    maks+ta||V da||
.    .+||Z||
Samas    samas+0||D||
pole    ole+0||V neg o||
välistatud    välista+tud||V tud||+    välistatud+0||A||    välistatud+0||A sg n||    välistatud+d||A pl n||
see    see+0||P sg n||
,    ,+||Z||
et    et+0||J||
Eestil    Eesti+l||H sg ad||
tuleb    tule+b||V b||
hakata    hakka+ta||V da||
lähiajal    lähi_aeg+l||S sg ad||
hoogsalt    hoogsalt+0||D||
laenu    laen+0||S sg p||
võtma    võt+ma||V ma||
.    .+||Z||
See    see+0||P sg n||
laen    laen+0||S sg n||
ei    ei+0||V neg||
läheks    mine+ks||V ks||
meie    mina+0||P pl g||
riigis    riik+s||S sg in||
tehtavateks    tehtav+teks||A pl tr||
investeeringuteks    investeering+teks||S pl tr||
,    ,+||Z||
vaid    vaid+0||D||
teiste    teine+te||O pl g||    teine+te||P pl g||+
euroala    euro_ala+0||S sg g||
riikide    riik+de||S pl g||
rahalise    rahaline+0||A sg g||
stabiilsuse    stabiilsus+0||S sg g||
tagamiseks    tagamine+ks||S sg tr||
.    .+||Z||
</p>
<p heading="0"> 
Samas    samas+0||D||
välistaks    välista+ks||V ks||
laenu    laen+0||S sg p|| %laen+0||S sg g||
võtmise    võtmine+0||S sg g||
jooksvate    jooksev+te||A pl g||
kulutuste    kulutus+te||S pl g||
katteks    kate+ks||S sg tr||
nagu    nagu+0||D||    nagu+0||J||+
näiteks    näide+ks||S sg tr||
palgad    palk+d||S pl n||
,    ,+||Z||
pensionid    pension+d||S pl n||
ja    ja+0||J||
toetused    toetus+d||S pl n||
.    .+||Z||
Targalt    targalt+0||D||
investeerimiseks    investeerimine+ks||S sg tr||
tasub    tasu+b||V b||
alati    alati+0||D||
laenu    laen+0||S sg p||
võtta    võt+a||V da||
nii    nii+0||D||
eraisikul    era_isik+l||S sg ad||
kui    kui+0||D||    kui+0||J||+
ka    ka+0||D||
riigil    riik+l||S sg ad||
.    .+||Z||
</p>
<p heading="0"> 
Eraisikuna    era_isik+na||S sg es||
olen    ole+n||V n||
laenu    laen+0||S sg p||
võtnud    võt+nud||V nud||+    võt=nud+0||A||    võt=nud+0||A sg n||    võt=nud+d||A pl n||
päris    päris+0||D||
suurtes    suur+tes||A pl in||
summades    summ+des||S pl in||    summa+des||S pl in||+
ja    ja+0||J||
praeguseks    praegune+ks||A sg tr||
on    ole+0||V b||+    ole+0||V vad||
laenusumma    laenu_summ+0||S sg g||    laenu_summa+0||S sg g||+
jääk    jääk+0||S sg n||
selline    selline+0||P sg n||
,    ,+||Z||
mida    mis+da||P pl p||    mis+da||P sg p||+
ametlikult    ametlikult+0||D||
deklareerima    deklareeri+ma||V ma||
ei    ei+0||V neg||
pea    pida+0||V o||
.    .+||Z||
</p>
<p heading="0"> 
Heimar    Heimar+0||H sg n||
Lenk    Lenk+0||H sg n||
(    (+||Z||
Keskerakond    Kesk_erakond+0||H sg n||+    Kesk_erakond+0||H sg n||
)    )+||Z||
:    :+||Z||
Valitsuse    valitsus+0||S sg g||
kavatsusest    kavatsus+st||S sg el||
2009.    2009.+0||O ?||
aasta    aasta+0||S sg g||
kulude    kulu+de||S pl g||
katteks    kate+ks||S sg tr||
laenu    laen+0||S sg p||
võtta    võt+a||V da||
meie    mina+0||P pl g|| %mina+0||P pl n||
kui    kui+0||D||    kui+0||J||+
opositsiooni    opositsioon+0||S sg g||
saadikud    saadik+d||S pl n||
Riigikogus    Riigi_kogu+s||H sg in||
sel    see+l||P sg ad||
ajal    aeg+l||S sg ad||
midagi    miski+dagi||P sg p||
ei    ei+0||V neg||
teadnud    tead+nud||V nud||+    tead=nud+0||A||    tead=nud+0||A sg n||    tead=nud+d||A pl n||
.    .+||Z||
See    see+0||P sg n||
pole    ole+0||V neg o||
ime    ime+0||S sg n||
,    ,+||Z||
sest    sest+0||J||
meie    mina+0||P pl g||
parlamentaar-se    parlamentaar-se+0||Y ?||
tava    tava+0||S sg g||
kohaselt    kohaselt+0||K||
opositsiooniga    opositsioon+ga||S sg kom||
reeglina    reegel+na||S sg es||
ei    ei+0||V neg||
arvestata    arvesta+ta||V ta||
.    .+||Z||
Arvan    arva+n||V n||
,    ,+||Z||
et    et+0||J||
ka    ka+0||D||
enamik    enamik+0||S sg n||
koalitsioonist    koalitsioon+st||S sg el||
sellest    see+st||P sg el||
ei    ei+0||V neg||
teadnud    tead+nud||V nud||+    tead=nud+0||A||    tead=nud+0||A sg n||    tead=nud+d||A pl n||
,    ,+||Z||
ju    ju+0||D||
oli    ole+i||V s||
küsimus    küsimus+0||S sg n||
arutlusel    arutlus+l||S sg ad||
kitsas    kitsas+s||A sg in||
ringis    ring+s||S sg in||
.    .+||Z||
Küll    küll+0||D||
kritiseeris    kritiseeri+s||V s||
opositsioon    opositsioon+0||S sg n||
,    ,+||Z||
kuhu    kuhu+0||D||
kuulusid    kuulu+sid||V sid||
sel    see+l||P sg ad||
ajal    aeg+l||S sg ad||
Keskerakond    Kesk_erakond+0||H sg n||+    Kesk_erakond+0||H sg n||
ja    ja+0||J||
Rahvaliit    Rahva_liit+0||H sg n||+    Rahvaliit+0||H sg n||
,    ,+||Z||
juba    juba+0||D||
2008.    2008.+0||O ?||
aasta    aasta+0||S sg g||
teisel    teine+l||O sg ad||+    teine+l||P sg ad||
poolel    pool+l||N sg ad|| %pool+l||S sg ad||
,    ,+||Z||
kui    kui+0||D||    kui+0||J||+
eelarve    eel_arve+0||S sg g|| %eel_arve+0||S sg n||
arutluse    arutlus+0||S sg g||
all    all+0||K||
oli    ole+i||V s||
,    ,+||Z||
tormiliselt    tormiliselt+0||D||
Ansipi    Ansip+0||H sg g||
valitsust    valitsus+t||S sg p||
.    .+||Z||
Imestasime    imesta+sime||V sime||
,    ,+||Z||
kuidas    kuidas+0||D||
valitsus    valitsus+0||S sg n||
ei    ei+0||V neg||
suutnud    suut+nud||V nud||+    suut=nud+0||A||    suut=nud+0||A sg n||    suut=nud+d||A pl n||
tunnistada    tunnista+da||V da||
rahanduskriisi    rahandus_kriis+0||S sg g||
olemasolu    olemas_olu+0||S sg g|| %olemas_olu+0||S sg p||
riigis    riik+s||S sg in||
.    .+||Z||
Kas    kas+0||D||
see    see+0||P sg n||
oli    ole+i||V s||
provokatsioon    provokatsioon+0||S sg n||
ja    ja+0||J||
peaministrile    pea_minister+le||S sg all||
ei    ei+0||V neg||
antud    and+tud||V tud||+    antud+0||A||    antud+0||A sg n||    antud+d||A pl n||
kõigest    kõigest+0||D||
teada    tead+a||V da||
?    ?+||Z||
See    see+0||P sg n||
võis    või+s||V s||
olla    ole+a||V da||
ka    ka+0||D||
lihtsalt    lihtsalt+0||D||
valitsusjuhile    valitsus_juht+le||S sg all||
omane    omane+0||A sg n||
oma    oma+0||P sg g||
joone    joon+0||S sg g||
ajamine    ajamine+0||S sg n||
ja    ja+0||J||
Ansip    Ansip+0||H sg n||
ei    ei+0||V neg||
mõistnud    mõist+nud||V nud||+    mõist=nud+0||A||    mõist=nud+0||A sg n||    mõist=nud+d||A pl n||
tookord    too_kord+0||D||
olukorra    olu_kord+0||S sg g||
tõsidust    tõsidus+t||S sg p||
.    .+||Z||
Hiljem    hiljem+0||D||
läks    mine+s||V s||
tema    tema+0||P sg g||
põikpäisus    põik_päisus+0||S sg n||
rahvale    rahvas+le||S sg all||
väga    väga+0||D||
kalliks    kallis+ks||A sg tr||
maksma    maks+ma||V ma||
,    ,+||Z||
sest    sest+0||J||
välislaenu    välis_laen+0||S sg g||
asemel    asemel+0||K||
võeti    võt+ti||V ti||
ju    ju+0||D||
kogu    kogu+0||A||
puuduv    puuduv+0||A sg n||
raha    raha+0||S sg n||
edaspidi    edas_pidi+0||D||
rahva    rahvas+0||S sg g||
enda    ise+0||P sg g||
taskust    tasku+st||S sg el||
.    .+||Z||
</p>
<p heading="0"> 
Elatustase    elatus_tase+0||S sg n||
on    ole+0||V b||+    ole+0||V vad||
praeguseni    praegune+ni||A sg ter||
madal    madal+0||A sg n||
ja    ja+0||J||
selle    see+0||P sg g||
pärast    pärast+0||K||
Euroopa    Euroopa+0||H sg g|| %Euroopa+0||H sg n||
meie    mina+0||P pl g||
rahanduspoliitikat    rahandus_poliitika+t||S sg p||
kiidabki    kiit+bki||V b||
.    .+||Z||
Erinevalt    erinevalt+0||D||
arenenud    arene+nud||V nud||    arenenud+0||A||+    arenenud+0||A sg n||    arenenud+d||A pl n||
